message_id,timestamp_utc,text
393765,2025-09-18T22:52:17+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on BTCUSDT @ $116,484.10: Sell $349,452"
393764,2025-09-18T22:13:15+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,568: Sell $168,177"
393763,2025-09-18T22:13:15+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on DOGEUSDT @ $0.28: Sell $115,305"
393762,2025-09-18T22:09:23+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on DOGEUSDT @ $0.28: Sell $104,598"
393761,2025-09-18T22:08:29+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on DOGEUSDT @ $0.2776: Sell $162,663"
393760,2025-09-18T22:08:29+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on LTCUSDT @ $116.92: Sell $53,807"
393759,2025-09-18T22:00:28+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on WUSDT @ $0.12: Sell $75,380"
393758,2025-09-18T20:37:18+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,617: Buy $63,113"
393757,2025-09-18T20:08:33+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on AVAXUSDT @ $35.25: Buy $84,520"
393753,2025-09-18T19:49:21+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on NEARUSDT @ $3.24: Buy $61,535"
393752,2025-09-18T19:37:36+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BTCUSDT @ $116,724: Sell $142,170"
393751,2025-09-18T19:37:36+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on BTCUSDT @ $116,559.80: Sell $435,584"
393750,2025-09-18T19:37:34+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on XRPUSDT @ $3.0651: Sell $171,744"
393749,2025-09-18T19:36:03+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on SOLUSDT @ $246: Sell $51,638"
393748,2025-09-18T19:36:02+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on ETHUSDT @ $4,558.53: Sell $455,853"
393747,2025-09-18T19:35:28+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on XRPUSDT @ $3.0693: Sell $92,079"
393746,2025-09-18T19:34:36+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on NEARUSDT @ $3.12: Sell $94,832"
393745,2025-09-18T19:32:52+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,567: Sell $693,574"
393744,2025-09-18T19:23:57+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on NEARUSDT @ $3.25: Buy $204,738"
393743,2025-09-18T19:20:20+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on SOLUSDT @ $247: Sell $177,268"
393742,2025-09-18T18:49:53+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on SOLUSDT @ $251.66: Buy $50,332"
